NameOfArt,PicturePath,TrueArt,False1Art,False2Art
Притихло,images\Притихло.jpg,ДУБОВСКОЙ Николай,МАКОВСКИЙ Константин,ЭРИКСЕН Вигилиус
Ярмарка,images\Ярмарка.jpg,КУЛИКОВ Иван,МЕНК Владимир,РЕПИН Илья
После удачи,images\После удачи.jpg,ВЕРЕЩАГИН Василий,МЕЩЕРСКИЙ Арсений,ШИШКИН Иван
Семь хлебов,images\Семь хлебов.jpg,МАТОРИН Виктор,ВАСНЕЦОВ Аполлинарий,ВЕРЕЩАГИН Пётр
Утро на Куликовом поле,images\Утро на Куликовом поле.jpg,БУБНОВ Александр,ВЕРЕЩАГИН Василий,НЕСТЕРОВ Михаил
Баян,images\Баян.jpg,ВАСНЕЦОВ Виктор,МАЗУРОВСКИЙ Виктор,ГОРБАТОВ Константин
Яблони в цвету. В Малороссии,images\Яблони в цвету. В Малороссии.jpg,СЕРГЕЕВ Николай,Фёдор Решетников,КУСТОДИЕВ Борис
Москва. 1812,images\Москва. 1812.jpg,ВЕРЕЩАГИН Василий,БЕРГГОЛЬЦ Ричард,ЛЕВИЦКИЙ Дмитрий
Авель Левитан,images\Авель Левитан.jpg,Портреты Сталина,КЛОДТ Михаил,МАТОРИН Виктор
Гитарист. 1823,images\Гитарист. 1823.jpg,ТРОПИНИН Василий,ЛИТОВЧЕНКО Александр,БОРОВИКОВСКИЙ Владимир
У лесного озера,images\У лесного озера.jpg,МЕЩЕРСКИЙ Арсений,СЕМИРАДСКИЙ Генрих,ВАСИЛЬЕВ Фёдор
Переход Суворова через Альпы в 1…,images\Переход Суворова через Альпы в 1….jpg,СУРИКОВ Василий,ВЕРЕЩАГИН Василий,ВАСНЕЦОВ Аполлинарий
Блудный сын,images\Блудный сын.jpg,ЛОСЕВ Николай,ОРЛОВСКИЙ Владимир,ВАСНЕЦОВ Аполлинарий
Хутор в Малороссии,images\Хутор в Малороссии.jpg,КРЫЖИЦКИЙ Константин,СЕМИРАДСКИЙ Генрих,ГОРБАТОВ Константин
Боярский свадебный пир в XV…,images\Боярский свадебный пир в XV….jpg,МАКОВСКИЙ Константин,БОРОВИКОВСКИЙ Владимир,ГОРЮШКИН-СОРОКОПУДОВ Иван
Рыбачки,images\Рыбачки.jpg,МАКОВСКИЙ Владимир,СВЕРЧКОВ Николай,ГРИБКОВ Сергей
Радость праведных о Господе,images\Радость праведных о Господе.jpg,ВАСНЕЦОВ Виктор,КРАМСКОЙ Иван,КРАМСКОЙ Иван
Зимний пейзаж,images\Зимний пейзаж.jpg,САВРАСОВ Алексей,ТРУТОВСКИЙ Константин,Портреты Сталина
Задонщина,images\Задонщина.jpg,МАТОРИН Виктор,ШИШКИН Иван,ПАВЛОВА Оксана
Закат солнца зимой. 1,images\Закат солнца зимой. 1.jpg,КЛЕВЕР Юлий,ЯКОБИ Валерий,РЕПИН Илья
Портрет Николая II,images\Портрет Николая II.jpg,СЕРОВ Валентин,ПЕРОВ Василий,ШИШКИН Иван
Красавица. 1918,images\Красавица. 1918.jpg,КУСТОДИЕВ Борис,БРЮЛЛОВ Карл,ЩУКИН Степан
К родным,images\К родным.jpg,ПАСТЕРНАК Леонид,ВОЛКОВ Ефим,МАЗУРОВСКИЙ Виктор
Крестьянский обед в поле,images\Крестьянский обед в поле.jpg,МАКОВСКИЙ Константин,ГОРБАТОВ Константин,ОЛЬШАНСКИЙ Борис
Зимний пейзаж с рекой и домами,images\Зимний пейзаж с рекой и домами.jpg,КЛЕВЕР Юлий,ДОБРОВОЛЬСКИЙ Николай,РЕПИН Илья
Овраг,images\Овраг.jpg,ШИЛЬДЕР Андрей,КАПКОВ Яков,АРГУНОВ Николай
Всадники ,images\Всадники .jpg,БРЮЛЛОВ Карл,КОРОВИН Петр,ВЕРЕЩАГИН Пётр
Навеки с русским народом,images\Навеки с русским народом.jpg,ХМЕЛЬКО Михаил,СЛАСТИОН Афанасий,ЕНДОГУРОВ Иван
Бриг «Меркурий» после победы на…,images\Бриг «Меркурий» после победы на….jpg,АЙВАЗОВСКИЙ Иван,ВЕНЕЦИАНОВ Алексей,КАЗАНЦЕВ Владимир
У родника,images\У родника.jpg,МЕЩЕРСКИЙ Арсений,ВЕРЕЩАГИН Василий,КАРАЗИН Николай
Ручей в лесу,images\Ручей в лесу.jpg,ШИШКИН Иван,МАКОВСКИЙ Константин,Портреты Сталина
Портрет графини Юлии Павловны Самой…,images\Портрет графини Юлии Павловны Самой….jpg,БРЮЛЛОВ Карл,ШИШКИН Иван,БРЮЛЛОВ Карл
Грешница,images\Грешница.jpg,СЕМИРАДСКИЙ Генрих,КОЦЕБУ Александр,ЛАГОРИО Лев
Устный счёт. В народно…,images\Устный счёт. В народно….jpg,БОГДАНОВ-БЕЛЬСКИЙ Николай,НЕСТЕРОВ Михаил,МАКОВСКИЙ Александр
Иней,images\Иней.jpg,ВЕЛЬЦ Иван,ВЕРЕЩАГИН Василий,ОРЛОВСКИЙ Владимир
Первый снег на Двине,images\Первый снег на Двине.jpg,ГЛАЗУНОВ Иван,ЛЕВИЦКИЙ Дмитрий,Портреты Сталина
Лисичка,images\Лисичка.jpg,НЕСТЕРОВ Михаил,РЫЛОВ Аркадий,БАЖАНОВ Пётр
Запорожец на посту,images\Запорожец на посту.jpg,ВАСИЛЬКОВСКИЙ Сергей,ХУДЯКОВ Василий,ВАСНЕЦОВ Аполлинарий
Поединок,images\Поединок.jpg,КРИВОНОГОВ Пётр,ВАСНЕЦОВ Аполлинарий,ЕГОРНОВ Сергей
Зима в Борисоглебске,images\Зима в Борисоглебске.jpg,БОГОЛЮБОВ Алексей,СЕРОВ Валентин,МАКАРОВ Иван
"«Свежий кавалер». Утро чиновника, …","images\«Свежий кавалер». Утро чиновника, ….jpg",ФЕДОТОВ Павел,ШИШКИН Иван,ПЛЕШАНОВ Павел
Свежий ветер. Волга,images\Свежий ветер. Волга.jpg,ЛЕВИТАН Исаак,ГОЛОВИН Александр,Боровиковский Владимир
Золотошвейка. 1826,images\Золотошвейка. 1826.jpg,ТРОПИНИН Василий,ДОУ Джордж,КИВШЕНКО Алексей
Осенний пейзаж,images\Осенний пейзаж.jpg,ЛЕВИТАН Исаак,НЕСТЕРОВ Михаил,КИПРЕНСКИЙ Орест
Пейзаж,images\Пейзаж.jpg,ОРЛОВСКИЙ Владимир,КРЫЖИЦКИЙ Константин,КОРИН Алексей
Спор о вере,images\Спор о вере.jpg,ПЕРОВ Василий,Портреты Сталина,АРГУНОВ Иван
Всехсвятский каменный мост.…,images\Всехсвятский каменный мост.….jpg,ВАСНЕЦОВ Аполлинарий,Фёдор Решетников,ИВАНОВ Александр
Святочное гадание,images\Святочное гадание.jpg,МАКОВСКИЙ Константин,ЛАГОРИО Лев,АНОХИН Николай
Болото в лесу. Осень,images\Болото в лесу. Осень.jpg,ВАСИЛЬЕВ Фёдор,ЛЕВИЦКИЙ Дмитрий,ГОРБАТОВ Константин
Охота на медведя,images\Охота на медведя.jpg,СВЕРЧКОВ Николай,ВАСИЛЬКОВСКИЙ Сергей,ГРООТ Георг
Цветы на фортепиано,images\Цветы на фортепиано.jpg,АНОХИН Николай,ПИМОНЕНКО Николай,НЕСТЕРОВ Михаил
Радость праведных о Господе ,images\Радость праведных о Господе .jpg,ВАСНЕЦОВ Виктор,НЕСТЕРОВ Михаил,Портреты Сталина
Лунная ночь на реке,images\Лунная ночь на реке.jpg,КАМЕНЕВ Лев,РОКОТОВ Фёдор,КРАМСКОЙ Иван
Начало зимы,images\Начало зимы.jpg,ВЕЛЬЦ Иван,БЕРГГОЛЬЦ Ричард,ЛЕВИЦКИЙ Дмитрий
Сваты,images\Сваты.jpg,ПИМОНЕНКО Николай,ВОЛКОВ Ефим,НЕФФ Тимофей
Осада Троице-Сергиевой лавры,images\Осада Троице-Сергиевой лавры.jpg,ВЕРЕЩАГИН Василий,КОЦЕБУ Александр,ОРЛОВСКИЙ Владимир
Портрет Екатерины Семёновны Сем…,images\Портрет Екатерины Семёновны Сем….jpg,КИПРЕНСКИЙ Орест,КУСТОДИЕВ Борис,БРЮЛЛОВ Карл
Портрет императрицы Елизаветы Петр…,images\Портрет императрицы Елизаветы Петр….jpg,ВИШНЯКОВ Иван,РЕМНЁВ Андрей,ВАСНЕЦОВ Аполлинарий
Старая Москва,images\Старая Москва.jpg,ЮОН Константин,ЛАГОРИО Лев,КАМЕНЕВ Лев
Боярыня у окна,images\Боярыня у окна.jpg,МАКОВСКИЙ Константин,НЕВРЕВ Николай,КОВАЛЕВСКИЙ Павел
Тайная вечеря,images\Тайная вечеря.jpg,ПОПОВ Павел,АНОХИН Николай,МАКОВСКИЙ Константин
Пасека в лесу,images\Пасека в лесу.jpg,ШИШКИН Иван,НЕМЕНСКИЙ Борис,ПЕРОВ Василий
Полтавщина,images\Полтавщина.jpg,ВАСИЛЬКОВСКИЙ Сергей,НИЛУС Пётр,Портреты Сталина
Портрет художника Ивана Ивановича …,images\Портрет художника Ивана Ивановича ….jpg,КРАМСКОЙ Иван,САВРАСОВ Алексей,СВЕРЧКОВ Николай
Портрет А. В. Суворова,images\Портрет А. В. Суворова.jpg,ШТЕЙБЕН Карл,БЕГГРОВ Александр,БЕГГРОВ Александр
Красная площадь,images\Красная площадь.jpg,ВАСНЕЦОВ Аполлинарий,ГОРБАТОВ Константин,КАРАЗИН Николай
Зимним вечером,images\Зимним вечером.jpg,КУЛИКОВ Иван,ЛАГОРИО Лев,КАРАЗИН Николай
Берендеи,images\Берендеи.jpg,ОЛЬШАНСКИЙ Борис,ЛЕВИТАН Исаак,КОРИН Павел
Возвращение с ярмарки,images\Возвращение с ярмарки.jpg,РЯБУШКИН Андрей,БОРОВИКОВСКИЙ Владимир,КРАЧКОВСКИЙ Иосиф
Северная идиллия,images\Северная идиллия.jpg,КОРОВИН Константин,ЛЕВИЦКИЙ Дмитрий,ЛАГОРИО Лев
Жница,images\Жница.jpg,МАКОВСКИЙ Константин,РЕЙХЕЛЬ Карл,НЕСТЕРОВ Михаил
Похороны знатного руса,images\Похороны знатного руса.jpg,СЕМИРАДСКИЙ Генрих,АРХИПОВ Абрам,НЕСТЕРОВ Михаил
Лес зимой,images\Лес зимой.jpg,КРЫЖИЦКИЙ Константин,ДУБОВСКОЙ Николай,Портреты Сталина
Портрет императрицы Марии Ф…,images\Портрет императрицы Марии Ф….jpg,МАКОВСКИЙ Константин,ДМИТРИЕВ-ОРЕНБУРГСКИЙ Николай,КОВАЛЕВСКИЙ Павел
Зимний вечер,images\Зимний вечер.jpg,МЕЩЕРСКИЙ Арсений,СОКОЛОВ Иван,ЛАГОРИО Лев
Городской пейзаж,images\Городской пейзаж.jpg,ГОРБАТОВ Константин,ГЛАЗУНОВ Илья,АНОХИН Николай
За грибами,images\За грибами.jpg,ШИШКИН Иван,КРАМСКОЙ Иван,АНТРОПОВ Алексей
Море. Парусники,images\Море. Парусники.jpg,ДУБОВСКОЙ Николай,РЕПИН Илья,БОГОЛЮБОВ Алексей
